[23/Feb/2018 13:14:13] DEBUG [workTracker:11] LoginRequiredMixin instantiated
[23/Feb/2018 13:14:13] DEBUG [workTracker:21] Entering clockin view
[23/Feb/2018 13:14:24] DEBUG [workTracker:16] user is authenticated
[23/Feb/2018 13:15:15] DEBUG [workTracker:11] LoginRequiredMixin instantiated
[23/Feb/2018 13:15:15] DEBUG [workTracker:22] Entering clockin view
[23/Feb/2018 13:15:19] DEBUG [workTracker:16] user is authenticated
[23/Feb/2018 13:15:19] DEBUG [workTracker:17] <WSGIRequest: GET '/clockin/'>
[23/Feb/2018 13:26:55] DEBUG [workTracker:11] LoginRequiredMixin instantiated
[23/Feb/2018 13:26:55] DEBUG [workTracker:22] Entering clockin view
[23/Feb/2018 13:27:23] DEBUG [workTracker:14] user is indeed, not authenticated
[23/Feb/2018 13:27:53] DEBUG [workTracker:16] user is authenticated
[23/Feb/2018 13:27:53] DEBUG [workTracker:17] <WSGIRequest: GET '/clockin/'>
[23/Feb/2018 13:32:22] DEBUG [workTracker:16] user is authenticated
[23/Feb/2018 13:32:22] DEBUG [workTracker:17] <WSGIRequest: GET '/clockin/'>
[23/Feb/2018 13:47:11] DEBUG [workTracker:16] user is authenticated
[23/Feb/2018 13:47:11] DEBUG [workTracker:17] <WSGIRequest: GET '/clockin/'>
[23/Feb/2018 13:48:26] DEBUG [workTracker:16] user is authenticated
[23/Feb/2018 13:48:26] DEBUG [workTracker:17] <WSGIRequest: GET '/clockin/'>
[23/Feb/2018 13:53:07] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 13:53:46] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 13:55:10] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 13:56:48] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 13:59:31] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 14:00:04] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 14:00:21] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 14:00:32] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 14:00:49] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 14:01:06] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 14:01:12] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 14:05:51] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 14:16:55] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 14:16:59] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 14:18:14] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 14:18:49] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 14:22:29] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 14:24:41] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 14:29:51] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 15:05:04] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 15:27:08] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 15:37:02] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 15:38:08] DEBUG [workTracker:24] Entering clockin view
[23/Feb/2018 15:41:57] DEBUG [workTracker:10] Entering clockin view
[23/Feb/2018 16:17:52] DEBUG [workTracker:11] Entering clockin view
[23/Feb/2018 16:33:23] DEBUG [workTracker:11] Entering clockin view
[23/Feb/2018 17:21:05] DEBUG [workTracker:11] Entering clockin view
[23/Feb/2018 17:50:05] DEBUG [workTracker:11] Entering clockin view
[23/Feb/2018 17:54:56] DEBUG [workTracker:11] Entering clockin view
[23/Feb/2018 17:55:55] DEBUG [workTracker:11] Entering clockin view
[23/Feb/2018 17:56:43] DEBUG [workTracker:11] Entering clockin view
[23/Feb/2018 18:01:38] DEBUG [workTracker:11] Entering clockin view
[23/Feb/2018 18:13:30] DEBUG [workTracker:11] Entering clockin view
[23/Feb/2018 18:18:00] DEBUG [workTracker:11] Entering clockin view
[23/Feb/2018 18:20:49] DEBUG [workTracker:12] Entering clockin view
[23/Feb/2018 18:21:45] DEBUG [workTracker:12] Entering clockin view
[23/Feb/2018 18:26:11] DEBUG [workTracker:12] Entering clockin view
[23/Feb/2018 19:54:54] DEBUG [workTracker:12] Entering clockin view
[23/Feb/2018 23:36:36] DEBUG [workTracker:12] Entering clockin view
[23/Feb/2018 23:48:32] DEBUG [workTracker:12] Entering clockin view
[23/Feb/2018 23:48:54] DEBUG [workTracker:12] Entering clockin view
[23/Feb/2018 23:48:56] DEBUG [workTracker:12] Entering clockin view
[24/Feb/2018 00:01:20] DEBUG [workTracker:12] Entering clockin view
[24/Feb/2018 00:16:11] DEBUG [workTracker:12] Entering clockin view
[25/Feb/2018 19:39:21] DEBUG [workTracker:12] Entering clockin view
